pflegeareal,area
FH Sihlfeld,256402.43832618615
Sportzentrum Hardhof,233549.05946137197
Allmend I,168765.68704673988
FH Nordheim,160952.5363677665
FH Eichbühl,138903.77436094073
Sportzentrum Heerenschürli,126915.53127233557
Sportzentrum Buchlern,122579.48805007622
FH Manegg,108196.38843403675
Hänsiried,102102.49500003182
FH Schwandenholz,98495.51524964363
FH Uetliberg,92061.52187491921
Rasensportanlage Juchhof 1,81207.8016216221
Rasensportanlage Allmend Brunau,75431.44137550575
Sportzentrum Witikon,74717.8130078493
FH Witikon,71474.65790945898
Allmend Stettbach,67897.92913867507
FH Schwamendingen,64034.08327994587
Rieterpark,61534.53991668617
Sportzentrum Eichrain,59368.9699015857
Rasensportanlage Neudorf,57555.04499998625
FH Enzenbühl,57267.65159598744
Rasensportanlage Juchhof 2,54798.47263856087
Sportzentrum Fronwald,53909.6512636478
Albisgüetli,52180.461999993546
Belvoirpark,51906.7626285699
Werdinsel,49505.42645834257
Zürichhorn,49388.51261315918
FH Hönggerberg,45539.89527664634
Landiwiese,39183.73270436661
Rasensportanlage Hönggerberg,38525.25592778703
Kasernenareal,36561.04356516292
Seebad Strandbad Mythenquai,35578.05416666417
Arboretum,34992.718613681136
Platzspitz/Platzpromenade,33596.9203333628
FH Fluntern,32591.45006431675
Gänziloohangfuss,32064.519642868203
FH Rehalp,30895.237464302805
Freibad Allenmoos,29230.55756205009
Seefeldquai,27416.045333279777
Grünzug Saatlen/Schörli,26964.395515325483
Sportzentrum Sihlhölzli,25357.032790702076
Rasensportanlage Letzi,24946.281528960728
Schindlergut,24288.44825360089
Bachwiesenpark,24062.53491404833
Überdeckung Entlisberg,23653.973081296903
Seebad Tiefenbrunnen,23605.222666657486
Rasensportanlage Lengg,23466.983750025152
Freibad Letzigraben,22992.132025749426
FH Affoltern,22858.49585659393
Bullingerhof,21920.10500001077
Freizeitanlage Seebach,21246.17847263298
Josefwiese,20626.54293859516
Bucheggpark,20148.878026342038
Freibad Seebach,20092.77440387212
Klopstockwiese,19810.011792377252
Panoramaweg,18943.93113717543
Heiligfeld,18123.324999987362
Blatterwiese,18066.899999997328
Freibad Auhof,17819.380384618682
Oerlikerpark,17688.00999999067
Tennisanlage Lengg,17651.815000013285
Freibad Heuried,17413.549260747594
Freestylepark Allmend,17359.666567377208
FH Leimbach,17205.995824366233
Muraltengut,16558.210000012754
FH Altstetten,16320.787864309976
Saalsporthalle,16208.734999981378
Flussbad Au Höngg,15731.276621730747
Tennisanlage Mythenquai 2,15375.108619185952
Utoquai,15361.420000002767
Leutschenpark,15281.878636358884
Tennisanlage Frauental,14904.953572198629
Stadion Letzigrund,14636.11999999383
Offene Radrennbahn Oerlikon,14358.701923106872
Hallenbad Oerlikon,14338.041760298729
Savera-Areal,14080.734999989589
Galerie Morgental,14053.142272737863
Grünzug Triemlifussweg,13948.045000022863
Trichtisal,13904.12500000176
Pfingstweid,13819.919999993122
Kollerwiese,13614.10999999615
Bäckeranlage,13590.128353625656
Fritschiwiese,13582.945000049596
Beckenhof,13286.095000018107
Rasenspielfeld + Rundbahn Liguster,13105.31499999338
Waid,12968.689999999146
Känguruwiese,12869.296175349413
Hardaupark,12822.510373340976
Seeburgpark,12600.225000012082
Aemtleranlage,12588.794999984777
Wahlenpark,12571.28499999236
Fabrikkanal Manegg,12391.775000001931
Mythenquai (Park),12377.65499999947
Freizeitanlage Heuried,12183.33408998874
Andreaspark,12122.562602267555
Wipkingerpark,11954.283395722094
Quartierpark Hirzenbach,11809.14954809036
Rasen- + Rollsportanlage Steinkluppe,11682.199999997703
Germaniahügel,11570.249999995613
"Resiweiher, Krattenturm",11557.05337788492
Familiengartenareal Juchhof,11435.949999964136
Freibad Zwischen den Hölzern,11081.679999988499
Mattenhof,11067.980000047088
"Waid, Wehrlisteig",10994.988101851237
Steinkluppen,10985.604999992127
Rasensportanlage Buchwiesen,10900.10999998996
Tennisanlage Seeblick,10779.804999989006
"Glaubten-Müseli, Schafmatt",10280.01393199898
Oberer Letten,10272.897941185289
Artergut,10016.145000000977
FH Albisrieden,9988.47433924674
Schärenmooswiese,9684.601406286893
Rasensportanlage Katzenbach,9679.539999989749
Sportzentrum Utogrund,9650.020000008848
Grünzug Glattwiesen,9435.652980512616
Tennisanlage Mythenquai 1,9231.567886699697
Buchholz,9161.129999990546
Neumünsteranlage,8929.92000000211
Seebad Katzensee,8911.493758569473
Dunkelhölzli,8816.983554684139
Sportzentrum Heuried,8803.999999994936
Waldgarten,8655.74000000232
Park Sihlhölzli,8324.323846157951
Sportzentrum Probstei,8285.131045400918
Tennisanlage Ueberlandstrasse,8228.12000001056
Hambergersteig,8099.97499999858
Stolzewiese,8073.247929998822
Eichrainpark,8064.454999978847
Rasensportanlage Forrenweid,7966.555000003293
Quartierpark Schütze,7679.280000019369
Patumbah-Park,7587.022499995474
Gleisbogen I,7187.593333328626
Dunkelhölzlifussweg,7147.375000012782
Parkplatz Katzensee,7006.334999999286
"Sportanlage Sihlhölzli, Bahndammwiese",6954.334999990637
FH Oerlikon,6833.386764705027
Lindenhof,6804.2849999987375
