"Jahr","ID_Quartier","Raum","SH_Quote","SH_Beziehende","Zivil_Bevölkerung"
2000,11,"Rathaus",3.8745387454,105,2710
2000,12,"Hochschulen",3.3726812816,20,593
2000,13,"Lindenhof",0.4822182037,8,1659
2000,14,"City",3.9466666667,74,1875
2000,21,"Wollishofen",2.9117259552,442,15180
2000,23,"Leimbach",2.8565150516,130,4551
2000,24,"Enge",2.5026766595,187,7472
2000,31,"Alt-Wiedikon",6.1799038682,810,13107
2000,33,"Friesenberg",4.9190600522,471,9575
2000,34,"Sihlfeld",7.365256603,1372,18628
2000,41,"Werd",8.4445734185,291,3446
2000,42,"Langstrasse",11.117432863,977,8788
2000,44,"Hard",9.1975678685,1074,11677
2000,51,"Gewerbeschule",9.135302525,767,8396
2000,52,"Escher Wyss",6.9835680751,119,1704
2000,61,"Unterstrass",3.4624348019,624,18022
2000,63,"Oberstrass",1.4949218304,131,8763
2000,71,"Fluntern",0.7563152322,50,6611
2000,72,"Hottingen",2.0157378463,187,9277
2000,73,"Hirslanden",2.365557483,150,6341
2000,74,"Witikon",1.2271259419,114,9290
2000,81,"Seefeld",2.3235031278,104,4476
2000,82,"Mühlebach",2.2385103011,113,5048
2000,83,"Weinegg",1.6812528789,73,4342
2000,91,"Albisrieden",4.0362175604,633,15683
2000,92,"Altstetten",6.3255021122,1707,26986
2000,101,"Höngg",2.7342549923,534,19530
2000,102,"Wipkingen",5.9561580617,826,13868
2000,111,"Affoltern",4.8141411845,847,17594
2000,115,"Oerlikon",5.4894433781,858,15630
2000,119,"Seebach",7.4710922054,1247,16691
2000,121,"Saatlen",7.6302629456,473,6199
2000,122,"Schwamendingen-Mitte",7.50254842,736,9810
2000,123,"Hirzenbach",5.7021197815,616,10803
2000,999,"Nicht zuordenbar",".",776,"."
2001,11,"Rathaus",3.5268185158,96,2722
2001,12,"Hochschulen",3.1879194631,19,596
2001,13,"Lindenhof",0.3612281758,6,1661
2001,14,"City",2.9162248144,55,1886
2001,21,"Wollishofen",2.9100529101,440,15120
2001,23,"Leimbach",3.1693989071,145,4575
2001,24,"Enge",2.2440204246,167,7442
2001,31,"Alt-Wiedikon",5.5826351866,733,13130
2001,33,"Friesenberg",4.5134575569,436,9660
2001,34,"Sihlfeld",6.5855097335,1228,18647
2001,41,"Werd",10.200471698,346,3392
2001,42,"Langstrasse",10.447427293,934,8940
2001,44,"Hard",8.0440160369,943,11723
2001,51,"Gewerbeschule",7.7633578861,664,8553
2001,52,"Escher Wyss",6.9515962925,135,1942
2001,61,"Unterstrass",3.2710022616,593,18129
2001,63,"Oberstrass",2.1539871677,188,8728
2001,71,"Fluntern",0.86324398,57,6603
2001,72,"Hottingen",1.8611232042,171,9188
2001,73,"Hirslanden",2.1654463312,139,6419
2001,74,"Witikon",1.1802575107,110,9320
2001,81,"Seefeld",2.1299956083,97,4554
2001,82,"Mühlebach",2.3980815348,120,5004
2001,83,"Weinegg",1.2603116407,55,4364
2001,91,"Albisrieden",3.6563765182,578,15808
2001,92,"Altstetten",6.0801741339,1676,27565
2001,101,"Höngg",2.4260958206,476,19620
2001,102,"Wipkingen",5.0665707089,704,13895
2001,111,"Affoltern",4.3656130912,779,17844
2001,115,"Oerlikon",4.9369616777,791,16022
2001,119,"Seebach",6.5720201124,1111,16905
2001,121,"Saatlen",6.2197873026,386,6206
2001,122,"Schwamendingen-Mitte",6.7862634546,662,9755
2001,123,"Hirzenbach",5.0110741971,543,10836
2001,999,"Nicht zuordenbar",".",820,"."
2002,11,"Rathaus",4.4027426922,122,2771
2002,12,"Hochschulen",3.5775127768,21,587
2002,13,"Lindenhof",0.6150061501,10,1626
2002,14,"City",3.2498668087,61,1877
2002,21,"Wollishofen",2.8460456707,425,14933
2002,23,"Leimbach",3.6474164134,168,4606
2002,24,"Enge",2.7023481569,206,7623
2002,31,"Alt-Wiedikon",5.7804768331,771,13338
2002,33,"Friesenberg",4.3083205717,422,9795
2002,34,"Sihlfeld",7.141718476,1344,18819
2002,41,"Werd",8.0375476679,274,3409
2002,42,"Langstrasse",11.508023741,1047,9098
2002,44,"Hard",7.8099770545,919,11767
2002,51,"Gewerbeschule",7.5928917609,658,8666
2002,52,"Escher Wyss",5.8538732394,133,2272
2002,61,"Unterstrass",3.8421485338,701,18245
2002,63,"Oberstrass",1.8620689655,162,8700
2002,71,"Fluntern",0.9390394089,61,6496
2002,72,"Hottingen",1.5518176886,143,9215
2002,73,"Hirslanden",2.1379525593,137,6408
2002,74,"Witikon",1.2623020967,118,9348
2002,81,"Seefeld",2.7456962301,126,4589
2002,82,"Mühlebach",2.244488978,112,4990
2002,83,"Weinegg",1.0567424765,46,4353
2002,91,"Albisrieden",4.0807344064,649,15904
2002,92,"Altstetten",6.2700029095,1724,27496
2002,101,"Höngg",2.7791865301,548,19718
2002,102,"Wipkingen",5.2525832377,732,13936
2002,111,"Affoltern",4.569528961,811,17748
2002,115,"Oerlikon",4.6576505549,768,16489
2002,119,"Seebach",6.4587093863,1145,17728
2002,121,"Saatlen",6.8455134135,444,6486
2002,122,"Schwamendingen-Mitte",6.7954146442,658,9683
2002,123,"Hirzenbach",5.5348202094,608,10985
2002,999,"Nicht zuordenbar",".",904,"."
2003,11,"Rathaus",5.4414414414,151,2775
2003,12,"Hochschulen",1.7064846416,10,586
2003,13,"Lindenhof",0.6176652254,10,1619
2003,14,"City",4.3686006826,64,1465
2003,21,"Wollishofen",3.1845400109,468,14696
2003,23,"Leimbach",4.0850705412,194,4749
2003,24,"Enge",2.7564685997,212,7691
2003,31,"Alt-Wiedikon",6.3853961521,843,13202
2003,33,"Friesenberg",5.1192842942,515,10060
2003,34,"Sihlfeld",8.0230142241,1506,18771
2003,41,"Werd",9.2780429594,311,3352
2003,42,"Langstrasse",12.943795214,1163,8985
2003,44,"Hard",9.2751165748,1094,11795
2003,51,"Gewerbeschule",8.2790697674,712,8600
2003,52,"Escher Wyss",6.1170212766,138,2256
2003,61,"Unterstrass",3.3760122565,617,18276
2003,63,"Oberstrass",2.1001615509,182,8666
2003,71,"Fluntern",1.1791730475,77,6530
2003,72,"Hottingen",1.6940008632,157,9268
2003,73,"Hirslanden",2.0714175298,134,6469
2003,74,"Witikon",1.3107004727,122,9308
2003,81,"Seefeld",2.7698395252,126,4549
2003,82,"Mühlebach",2.301130728,116,5041
2003,83,"Weinegg",1.3965201465,61,4368
2003,91,"Albisrieden",4.2474607572,690,16245
2003,92,"Altstetten",6.7949288256,1833,26976
2003,101,"Höngg",2.887797052,576,19946
2003,102,"Wipkingen",6.1492076848,877,14262
2003,111,"Affoltern",5.7832678271,1030,17810
