"nummer","foto","eignung","geraete","bereich","infrastruk","besonderes","typ","poi_id","elemente","gsz_id"
"98","J","0 - 16 Jahre","Seilanlage, Brettschaukel, Spielhaus, Pumpe, Pendelschaukel, Balanciergerät, Kletteranlage mit Rutsche, Sandbereich, Hangrutsche, Kletterelement, Hängebrücke, Wasserförderanlage","","","Gemeinschaftszentrum angrenzend an Schulanlage mit Schulspielwiese und Hartflächen","GZ mit Spielplatz","sp098","Spielwiese, Bach, Sandanlage, grosse Kiesfläche","0098"
"96b","J","0 - 16 Jahre","Hängematte, Balanciergerät, Kletteranlage mit Rutschstangen","","","Quartierspielplatz","Spielplatz","sp096b","Kiesplatz","0096B"
"","J","0 - 15 Jahre","Wippe, Balanciergerät","","","","Spielplatz","sp9653","Wippe, Balanciergerät","0038"
"195","J","0 - 9 Jahre","Brettschaukel, Korbschaukel, Kletteranlage mit Rutsche, Sandkasten","","","Temporärer Quartierspielplatz mit einer einzigartigen mobilen Kukuk-Box","Spielplatz","sp195","Kiesfläche","0195"
"115","J","0 - 5 Jahre","Brettschaukel, Sandbereich, Bockrutsche, Federwippe, Pumpe","","","ruhiger Spielplatz","Spielplatz","sp115","Spiel- und Liegewiese","0115"
"163a","J","0 - 9 Jahre","Drehteller, Gurtensteg, Hüpfteller, Schwingwippe","","","Quartierspielplatz","Spielplatz","sp163a","Spiel- und Liegewiese, Hartplatz","0163A"
"","N","","","","","","","sp13061","",""
"118","J","0 - 5 Jahre","Sandbereich, Brettschaukel, Federwippe, Rutsche","","","Quartierhaus Kreis 6","Quartiertreff mit Spielplatz","sp118","","0118"
"69","J","0 - 9 Jahre","Sandbereich, Kletteranlage mit Rutsche, Lauschrohr","","","Attraktiver, vielfältiger Spielplatz","Spielplatz","sp069","Spiel- und Liegewiese","0069"
"7","J","0 - 5 Jahre","Federwippe,  Schwingwippe, Kleinkinderschaukel, Rutsche, Sandbereich, Sandspielgeräte, Tischtennistisch","","","Kleine Parkanlage","Spielplatz","sp007","Spiel- und Liegewiese","0007"
"8","J","0-5 Jahre","Balanciergerät, Schaukel","","","alter Baumbestand, von Strasse gut abgeschirmt","Spielplatz","sp008","Grünzug am Bach","0008"
"","N","","","","","","","sp9624","","TAZ001"
"107","J","0 - 5 Jahre","Brettschaukel, Sandkasten, Kletteranlage mit Rutsche, Tischtennistisch","","","Spielanlage im Innenhof","Spielplatz","sp107","Spiel- und Liegewiese","0107"
"50","J","0 - 5 Jahre","Kletteranlage, Brettschaukel, Sandbereich, Spielhaus, Federwippe, Balkenwippe,  Hangrutsche","","","wunderschöne Aussicht auf die Stadt","Spielplatz","sp050","Quartierspielplatz","0050"
"","N","","","","","","","sp9022","","0198"
"109","J","0 - 5 Jahre","Schwingwippe, Brettschaukel, Sandkasten, Bockrutsche","","","eingezäunter Kleinkinderspielbereich","Spielplatz","sp109","Spiel- und Liegewiese, Hartplatz","0109"
"95","J","0 - 9 Jahre","Wasserspiel, Pumpe, Wasserförderanlage,   Kletterelement","","","Attraktiver, vielfältiger Wasserspielplatz in der Sportanlage Hardhof","Spielplatz","sp095","grosser, gepflästerter Wasserspielbereich","0095"
"34","J","0 - 5 Jahre","Federwippe, Brettschaukel, Sandbereich, Rutsche, Federwippe, Kleinkinderschaukel","","","historische Anlage mit sehr schönem Baumbestand","Spielplatz","sp034","Spiel- und Liegewiese","0034"
"77","J","0 - 5 Jahre","Balanciergerät, Federwippe, Sandbereich, Sitzkarussell, Sandspielgeräte","","","grosszügige Parkanlage mit schönem Baumbestand","Spielplatz","sp077","Spiel- und Liegewiese, Schlittelhang","0077"
"133","J","0 - 5 Jahre","Brettschaukel, Balkenwippe","","","grosser Marktplatz mit Brunnen","SPPL GSZ öffentlich","sp133","Hartplatz","0133"
"190","J","0 - 16 Jahre","keine Spielgeräte","","","Hauptaktivität ist der Bau von Hütten und das Werken mit Holz und anderen Materialien, beaufsichtigter Bauspielplatz mit Öffnungszeiten","Bauspielplatz - privater Verei","sp190","Abenteuerspielplatz","0190"
"61","J","0 - 16 Jahre","Slackline, Pumpen, Brettschaukel, Drehkletterturm, Drehscheibe, Karussell, Seilbahn, Hangrutsche, Spielhaus, Brettschaukel, Planschbecken, Boulderwand, Tischtennistisch, Kletterelement","","","grosszügige, beliebte Parkanlage mit Planschbecken","Spielplatz","sp061","Spiel-  und Liegewiese, Spielhügel,  Boulderwand, Planschbecken","0061"
"60","J","0 - 5 Jahre","Drehscheiben, Brettschaukel, Klettergerät, Balkenwippe, Schachspiel","","","historische Parkanlage mit schönem Baumbestand","Spielplatz","sp060","Kiesplatz","0060"
"48","J","0 - 9 Jahre","Seilanlage, Spiegel, Brettschaukel, Hangrutsche, Seilkletteranlage","","","Familienausflugsziel an einem Bachtobel mit Blockhütte","Spielplatz","sp048","Spiel- und Liegewiese, Schotterrasen","0048"
"","N","","","","","","","sp9572","","0153"
"14","J","0-5 Jahre","Sandbereich, Matschtisch, Sandspielgeräte, Kletteranlage mit Rutsche, Brettschaukel","","","Grünzug","Spielplatz","sp014","Sandanlage","0014"
