"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","nummer","foto","eignung","geraete","bereich","infrastruk","besonderes","typ","elemente","gsz_id","geometry"
"","Ruedi-Walter-Strasse/Otto-Schütz-Weg","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","Cafe_Parkplatz_Besuchenden-WC_Behinderten-WC_Kiosk<BR>Bancomat","","","Spielplatz","","Wahlenpark","","1275.0000000000","","","","","","","","","","","","","","","","8050","sp148","","1","","Spiel- und Liegewiese, Planschbecken, Pumpe, Rotationsgerät, Brettschaukel, Kletterelement,  Denkspiel, Drehteller, Wasserspiel, Bockrutsche, Sitzbänke, Züri-WC, Basketball, Brunnen, moderne, grosszügige Parkanlage","+41 44 412 06 77","","","","","","Ruedi-Walter-Strasse/Otto-Schütz-Weg","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Ruedi-Walter-Strasse/Otto-Schütz-Weg&tolat=47.41576776&tolon=8.54075604","148","J","0 - 16 Jahre","Pumpe, Rotationsgerät, Brettschaukel, Kletterelement,  Denkspiel, Drehteller, Wasserspiel, Bockrutsche","","","moderne, grosszügige Parkanlage","Spielplatz","Spiel- und Liegewiese, Planschbecken","0148","POINT (2683172 1252246)"
"","Seestrasse 407","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Rote Fabrik","","1276.0000000000","","","","","","","","","","","","","","","","8038","sp116","","1","","grosse Kiesfläche, Brettschaukel, Kletteranlage mit Rutsche, Bahnkarussell, Sandbereich, Pumpe, Federwippe, Sitzbänke, Feuerstelle, Spielschiff, See","+41 44 482 10 03","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Seestrasse%20407&tolat=47.34298210&tolon=8.53702277","116","J","0 - 5 Jahre","Brettschaukel, Kletteranlage mit Rutsche, Bahnkarussell, Sandbereich, Pumpe, Federwippe","","","schönes Spielschiff direkt am See","Spielplatz","grosse Kiesfläche","0116","POINT (2683003.5 1244150.4)"
"","Dora Staudingerstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Holderbachwiese","","1277.0000000000","","","","","","","","","","","","","","","","8046","sp174","","1","","Fussballwiese, keine Spielgeräte, Sitzbänke, Brunnen, Bolzplatz","+41 44 371 05 13","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Dora%20Staudingerstrasse&tolat=47.42204554&tolon=8.50521983","174","J","0 - 16 Jahre","keine Spielgeräte","","","kleiner Bolzplatz","Spielplatz","Fussballwiese","0174","POINT (2680481 1252906.9)"
"","","","","","","Grün Stadt Zürich","202503051124","","Tiefbau- und Entsorgungsdepartement (TED)","","","","196","","","","","Spielplatz","","DreispitzDreispitz","","1278.0000000000","","","","","","","","","","","","","","","Zürich","8051","sp9654","","1","Ueberlandstrasse","","044 412 12 35","","","","","","Dreispitz","https://www.zvv.ch/de/fahrplan-und-informationen/haltestellenfahrplan.html","","N","3 - 15","Balanciergerät","","","Spielplatz im Ueberlandpark","Spielplatz","Spiel und Sport","0126","POINT (2685356.5 1251631.6)"
"","Wasserwerkstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","0_","_NULL","","","Spielplatz","","Unterer Letten(Freibad)","","1279.0000000000","","","","","","","","","","","","","","","Zürich","8037","sp188","","1","","Spiel- und Liegewiese, Brettschaukel, Sitzkarussell, Kletteranlage mit Rutsche, Sitzbänke, Badeanlage","+41 44 361 63 18","","","","","","Wasserwerkstrasse","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich%2C%20Wasserwerkstrasse&tolat=47.38630591&tolon=8.53443853","188","J","0 - 9 Jahre","Brettschaukel, Sitzkarussell, Kletteranlage mit Rutsche","","","Spielanlage in Badeanlage. Öffnungszeiten berücksichtigen!","Spielplatz in Badeanlage","Spiel- und Liegewiese","0188","POINT (2682741 1248964)"
"","Leutschenbachstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Leutschenpark","","1280.0000000000","","","","","","","","","","","","","","","","8050","sp149","","1","","Spiel- und Liegewiese, Planschbecken, Boulderwand, Kletterelement, Pumpen, Pendelschaukel, Klettergerät, Sandbereich, Sitzbänke, Brunnen, moderne, grosszügige Parkanlage","+41 44 322 02 20","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Leutschenbachstrasse&tolat=47.41765076&tolon=8.55621996","149","J","0 - 9 Jahre","Kletterelement, Pumpen, Pendelschaukel, Klettergerät, Sandbereich","","","moderne, grosszügige Parkanlage","Spielplatz","Spiel- und Liegewiese, Planschbecken, Boulderwand","0149","POINT (2684336 1252471.9)"
"","Edelweissstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Letzigraben (Freibad)","","1281.0000000000","","","","","","","","","","","","","","","","8047","sp187","","1","","Spiel- und Liegewiese, Drehscheiben, Rotationsgerät, Kletterelement, Sitzbänke, Badeanlage","+41 44 461 21 17","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Edelweissstrasse&tolat=47.37934835&tolon=8.49909463","187","J","0 - 9 Jahre","Drehscheiben, Rotationsgerät, Kletterelement","","","Spielanlage in Badeanlage. Öffnungszeiten berücksichtigen!","Spielplatz in Badeanlage","Spiel- und Liegewiese","0187","POINT (2680083 1248153.9)"
"","Regensberg-/Binzwiesen-/Friedheimstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Waldgarten","","1282.0000000000","","","","","","","","","","","","","","","","8050","sp019","","1","","grosse Spiel- und Liegewiese, grosse Kiesfläche, Kletteranlage mit Rutsche, Brettschaukel, Kletterbaumstamm,  Sandbereich, Tischtennistisch, Sandkasten, Brunnen, Quartiertreff","+41 44 322 02 20","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Regensberg-/Binzwiesen-/Friedheimstrasse&tolat=47.40425426&tolon=8.55514224","19","J","0 - 16 Jahre","Kletteranlage mit Rutsche, Brettschaukel, Kletterbaumstamm,  Sandbereich, Tischtennistisch, Sandkasten","","","grosse Spielwiese mit Quartiertreff","Spielplatz","grosse Spiel- und Liegewiese, grosse Kiesfläche","0019","POINT (2684275.8 1250981.4)"
"","Stauffacher-/Feldstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Bäckeranlage","","1349.0000000000","","","","","","","","","","","","","","","","8004","sp108","","1","","Spiel- und Liegewiese, Planschbecken, Brettschaukel, Sitzkarussell, Sandkasten, Kletternetzpyramide, Bockrutsche, Korbschaukel, ZüriWC, Planschbecken, Sitzbänke, Spielanimation, Quartierzentrum Restaurant,  Baumbestand","+41 44 461 21 17","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Stauffacher-/Feldstrasse&tolat=47.37782415&tolon=8.52358199","108","J","0 - 16 Jahre","Brettschaukel, Sitzkarussell, Sandkasten, Kletternetzpyramide, Bockrutsche, Korbschaukel","","","Quartierzentrum mit Restaurant, grosszügige Anlage mit verschiedenen Bereichen, alter Baumbestand","Spielplatz","Spiel- und Liegewiese, Planschbecken","0108","POINT (2681934.2 1248009.6)"
"","Aemtlerstrasse","","","","","Grün Stadt Zürich","202412161130","","Tiefbau- und Entsorgungsdepartement (TED)","","","","","","","","","Spielplatz","","Aemtleranlage","","1350.0000000000","","","","","","","","","","","","","","","","8003","sp067","","1","","Spiel- und Liegewiese, Seilanlage mit Rutsche, Wasserspiel, Kletteranlage mit Rutsche, Einpunktschaukel, Sandbereich,  Wasserförderanlage, Kletteranlage mit Rutsche, Wasserförderanlage, Sitzbänke, Brunnen, Feuerstellen, Pergola, Baumbestand","+41 44 492 71 41","","","","","","","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Aemtlerstrasse&tolat=47.37384901&tolon=8.51114092","67","J","0 - 9 Jahre","Seilanlage mit Rutsche, Wasserspiel, Kletteranlage mit Rutsche, Einpunktschaukel, Sandbereich,  Wasserförderanlage, Kletteranlage mit Rutsche, Wasserförderanlage","","","historische Parkanlage mit schönem Baumbestand","Spielplatz","Spiel- und Liegewiese","0067","POINT (2681001 1247554.9)"
