"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","geometry"
"","Mobiles WC Landiwiese","","","Die mobile WC-Anlage ist jeweils von Anfang Juli bis Ende Oktober offen.","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","","0__",";Komposttoilette Landiwiese<br>Ergänzend zum ZüriWC Landiwiese<br>April bis Oktober","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Mobiles WC Landiwiese","","8580","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8038","wcm11625","","0","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles WC Landiwiese","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Mythenquai 317","POINT (2682885 1244821)"
"","Mobiles WC Zeughaushof","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","","0__",";ToiToi Toilette Zeughaushof","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Mobiles WC Zeughaushof","","8644","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8004","wcm11623","","0","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles WC Zeughaushof","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Kanonengasse 18c","POINT (2682448 1247915)"
"","Mobiles WC Kirche Fluntern","","","Die mobile WC-Anlage ist jeweils von Anfang April bis Ende Oktober offen.","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","","0__",";Komposttoilette Kirche Fluntern<br>April bis Oktober","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Mobiles WC Kirche Fluntern","","8645","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8044","wcm11624","","0","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles WC Kirche Fluntern","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Kantstrasse 21","POINT (2684424 1247922)"
"","Mobiles WC Lettenareal","","","Die mobile WC-Anlagen sind jeweils von Anfang April bis Ende Oktober offen.","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","","0__",";Komposttoiletten<br>Ergänzend zum ZüriWC Lettenareal<br>April bis Oktober","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Mobiles WC Lettenareal","Oberer Letten","8664","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8006","wcm11627","","0","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles WC Lettenareal","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Nordstrasse 43","POINT (2682828 1248891)"
"","Mobiles WC Parkplatz Letten","","","Die mobile WC-Anlage ist jeweils von Anfang April bis Ende Oktober offen.","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","","0__",";Komposttoilette Parkplatz Letten<br>April-Oktober","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Mobiles WC Parkplatz Letten","","8666","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8037","wcm11630","","0","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles WC Parkplatz Letten","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Wasserwerkstrasse 107","POINT (2682565 1249149)"
"","Mobiles WC Stolzewiese","","","Die mobile WC-Anlage ist jeweils von Anfang April bis Ende Oktober offen.","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","","0__",";Mobile Komposttoilette","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Mobiles WC Stolzewiese","","9643","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8006","wcm8683","","0","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles WC Stolzewiese","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Stolzestrasse 9","POINT (2683634 1249040)"
"","Mobiles WC MFO Park","","","Die mobile WC-Anlage ist jeweils von Anfang April bis Ende Oktober offen.","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","","0__",";Komposttoilette MFO Park<br>April bis Oktober","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Mobiles WC MFO-Park","","9817","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8050","wcm11626","","0","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles WC MFO Park","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Sophie-Taeuber-Strasse 10","POINT (2683098 1251857)"
"","Mobiles WC Emilie-Lieberherr-Platz","","","Die mobile WC-Anlage ist ganzjährig offen.","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","","0__",";Komposttoilette Emilie-Lieberherr-Platz","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Mobiles WC Emilie-Lieberherr-Platz","","10338","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8005","wcm7345","","1","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles WC Emilie-Lieberherr-Platz","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Johannesgasse 26","POINT (2682464 1248647)"
"","Mobiles WC Brupbacherplatz","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","","0__",";NULL","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Mobiles WC Brupbacherplatz","","10466","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8003","wcm11582","","1","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles WC Brupbacherplatz","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Sihlfeldstrasse 32","POINT (2681440 1247611)"
"","Mobiles WC Josefwiese","","","Die mobile WC-Anlage ist jeweils von Anfang April bis Ende Oktober offen.","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","","0__",";Komposttoilette Josefwiese<br>Ergänzend zum ZüriWC<br>April-Oktober","1","0","Mobile Toiletten (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Mobiles WC Josefswiese","","10470","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8005","wcm11622","","0","","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mobiles WC Josefwiese","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Neugasse 155","POINT (2681855 1248889)"
