"oeffnungsz","gebuehren","standort","kreis","typ","poi_id","kommentar"
"24h","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Manessestrasse 51 / Beim Durchgang zum Hertersteg","3","","wcr032","Multifunktions- und Behinderten WC, Wickeltisch."
"24h","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Birmensdorferstrasse 509 / Endstation Triemli auf der Traminsel","3","","wcr033","Multifunktions- und Behinderten WC, Wickeltisch."
"24h","Eurokey oder Fr. 1.--","Hardaustrasse 2","4","","wcr035","Selbstreinigender WC Automat für Damen- und Herren. Rollstuhlgängig mit automatischer Türe. Wickeltisch vorhanden."
"24h","Behinderten-WC (nur Eurokey), Multifunktions-WC (gratis)","Hohlstrasse 91 / Ecke Feldstrasse","4","","wcr036","2 Multifunktions- und ein Behinderten-WC. Das Behinderten-WC ist wegen häufiger Sachbeschädigungen nur noch mit Eurokey zugänglich."
"Während der Öffnungszeiten des Bahnhofs. Am Wochenende 24h","Rollstuhlgängiges- und familiengerechtes-WC: CHF 1.-- / 1 Euro (Kreditkartenzahlung möglich) oder Eurokey. Multifunktions-WC: kostenlos. ","Hardstrasse 189/ Im UG des Bahnhofs beim Kiosk","5","","wcr037","1 Rollstuhlgängiges- und familiengerechtes-WC Modul mit Wickeltisch und 1 Multifunktions-WC."
"Multifunktions-WC 24 h, Behinderten-WC mit Eurokey 24h, mit Gebühr Fr. 1.-- 06.00-22.00 Uhr","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Auf dem neu gestalteten Platz bei den Unterflur-Containern.","7","","wcr3628","Multifunktions- und Behinderten WC, Wickeltisch."
"24h","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Badenerstrasse 230","4","","wcr040","Multifunktions- und Behinderten WC, Wickeltisch."
"24h. Behinderten-WC nur mit Eurokey","Gebührenfrei.","Rotwandstrasse 34 / Eckke Stauffacherstrasse","4","","wcr043","Multifunktions- und Behinderten-WC. Das Behinderten-WC ist nur mit Eurokey zugänglich."
"24h. Reduzierter Winterbetrieb.","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Josefstrasse 197 / beim Bahnviadukt","5","","wcr049","Betreut vom Kiosk. 2 Multifunktions- und ein Behinderten WC, Wickeltisch. Zugang zum Behinderten WC durch Kiesvorplatz erschwert."
"24h","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Limmatplatz 3c / Auf der Traminsel","5","","wcr050","2 Multifunktions- und ein Behinderten WC, Wickeltisch."
