"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","typ","kreis","standort","oeffnungsz","gebuehren","kommentar","geometry"
"","Bändlistrasse 90","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","90","0__",";Geöffnet 24h. Gebührenfrei","1","0","WC (rollstuhlgängig)","ugz-zuerichwc@zuerich.ch","Werdhölzli (rollstuhlgängig mit Eurokey)","","6167","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8064","wcr13941","","1","Bändlistrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Bändlistrasse 90","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Bändlistrasse 90","","9","Bändlistrasse 90, 8064 Zürich","Rollstuhlgängiges- und familiengerechtes-WC: von 06:00-22:00 - mit Eurokey 24 h offen. Multifunktions-WC: 24 h offen.","Rollstuhlgängiges- und familiengerechtes-WC: CHF 1.-- / 1 Euro (Kreditkartenzahlung möglich) oder Eurokey. Multifunktions-WC: kostenlos.","1 Rollstuhlgängiges- und familiengerechtes-WC Modul mit Wickeltisch und 1 Multifunktions-WC.","POINT (2678771 1250201)"
"","Mythenquai 309","","","Rollstuhlgängiges-WC Fr. 1.--, Eurokey oder Kreditkartenzahlung möglich, Multifunktions-WC kostenlos benutzbar","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","309","0__",";Rollstuhlgängiges-WC Fr. 1.--, Eurokey oder Kreditkartenzahlung möglich, Multifunktions-WC kostenlos benutzbar","1","0","WC (rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Landiwiese (rollstuhlgängig)","","6254","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8002","wcr13861","","1","Mythenquai","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Mythenquai 309","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Mythenquai 309","","2","Mythenquai 309 / unter der Fussgängerbrücke","24 h","Rollstuhlgängiges-WC Fr. 1.--, Eurokey oder Kreditkartenzahlung möglich, Multifunktions-WC kostenlos benutzbar","3 Multifunktions- und 1 Rollstuhlgängiges-WC mit Eurokey, Wickeltisch.","POINT (2682806 1244952)"
"","Josefstrasse 197","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","197","0__https://zuerst.proinfirmis.ch/pois/detail/26220",";NULL","1","0","WC (rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Josefswiese (rollstuhlgängig mit Eurokey)","","7130","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8005","wcr049","","1","Josefstrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Josefstrasse 197","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Josefstrasse 197","","5","Josefstrasse 197 / beim Bahnviadukt","24h. Reduzierter Winterbetrieb.","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Betreut vom Kiosk. 2 Multifunktions- und ein Behinderten WC, Wickeltisch. Zugang zum Behinderten WC durch Kiesvorplatz erschwert.","POINT (2681885 1248936)"
"","Usteristrasse 6","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","6","0__",";Geöffnet 24h, Gebühr Fr. 1.-- oder Eurokey","1","0","WC (rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Pestalozzianlage (rollstuhlgängig mit EuroKey)","","7159","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8001","wcr097","","1","Usteristrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Usteristrasse 6","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Usteristrasse 6","","1","Usteristrasse 6 / Zwischen Globus, McDonalds und Lottokiosk","24 h","Fr. 1.-- oder Eurokey","WC-Automat für Damen- und Herren. Rollstuhlgängig mit automatischer Türe, Wickeltisch. ","POINT (2683035 1247767)"
"","Hardplatz 1 (eing.)","","","Multifunktions- und Behinderten-WC","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","1","0__",";NULL","1","0","WC (rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Hardplatz (rollstuhlgängig mit Eurokey)","","7182","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8004","wcr5698","","1","Hardplatz","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Hardplatz 1 (eing.)","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Hardplatz 1","","4","Hardplatz","24h","Gebührenfrei, Behinderten WC mit Eurokey oder Fr. 1.--","Multifunktions- und Behinderten-WC","POINT (2681269 1248544)"
"","Limmatstrasse 313","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","313","0__",";Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis)_","1","0","WC (rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Escher-Wyss-Platz (rollstuhlgängig mit Eurokey)","","7186","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8005","wcr2888","","1","Limmatstrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Limmatstrasse 313","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Limmatstrasse 313","","5","Escher-Wyss-Platz bei der Tramhaltestelle stadteinwärts","24 h, Behinderten WC mit Eurokey 24h, mit Gebühr 06.00-22.00 Uhr","Gebührenfrei. Behinderten-WC mit Eurokey oder Fr. 1.--.","Multifunktions- und Behinderten WC.","POINT (2681911 1249351)"
"","Hardstrasse 17","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","17","0__",";Geöffnet 24h. Behinderten-WC ohne Eurokey von 06.00-22.00 Uhr._Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis)_","1","0","WC (rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Hardaupark (rollstuhlgängig mit EuroKey)","","7224","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8004","wcr005","","1","Hardstrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Hardstrasse 17","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Hardstrasse 17","","4","Im neuen Hardaupark hinter dem Albisriederplatz","24 h, Behinderten-WC 06-22 Uhr, mit EuroKey 24h","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Multifunktions- und Behinderten WC, Wickeltisch.","POINT (2680904 1248204)"
"","Hohlstrasse 91","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","91","0__",";Geöffnet 24h._Behinderten-WC nur mit Eurokey._","1","0","WC (rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Bäckeranlage (rollstuhlgängig mit EuroKey)","","7249","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8004","wcr036","","1","Hohlstrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Hohlstrasse 91","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Hohlstrasse 91","","4","Hohlstrasse 91 / Ecke Feldstrasse","24h","Behinderten-WC (nur Eurokey), Multifunktions-WC (gratis)","2 Multifunktions- und ein Behinderten-WC. Das Behinderten-WC ist wegen häufiger Sachbeschädigungen nur noch mit Eurokey zugänglich.","POINT (2681905 1248079)"
"","Wehntalerstrasse 539a","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","539a","0__",";Geöffnet 24h._Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis)_","1","0","WC (rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Zehntenhausplatz (rollstuhlgängig mit EuroKey)","","7288","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8046","wcr091","","1","Wehntalerstrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Wehntalerstrasse 539a","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Wehntalerstrasse 539a","","11","Wehntalerstrasse 539a / Bushaltestelle","24 h","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Multifunktions- und Behinderten WC. ","POINT (2680605 1252549)"
"","Hirzenbachweg 30","","","Geöffnet 24h<BR>Gebührenfrei, Behinderten-WC nur mit Eurokey","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","30","0__",";Geöffnet 24h_Gebührenfrei, Behinderten-WC nur mit Eurokey","1","0","WC (rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Hirzenbach (rollstuhlgängig mit EuroKey)","","7289","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8051","wcr092","","1","Hirzenbachweg","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Hirzenbachweg 30","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Hirzenbachweg 30","","12","Tramendstation 9","24 h","Gebührenfrei, Behinderten-WC nur mit Eurokey","Multifunktions- und Behinderten WC. In der Nähe befinden sich das GZ und die neue Sportanlage Heerenschürli. Das Behinderten-WC ist nur mit Eurokey zugänglich.","POINT (2686973 1250893)"
