"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","typ","kreis","kommentar","gebuehren","oeffnungsz","standort","geometry"
"","Militärstrasse 45","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","45","0__",";Pissoir für Männer. Gebührenfrei","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Militärstrasse (Pissoir)","","7067","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8004","wc041","","0","Militärstrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Militärstrasse 45","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Militärstrasse 45","Pissoir","4","Zurzeit geschlossen","Gebührenfrei","24 h","beim Zeughaus.","POINT (2682534 1247973)"
"","Schlossgasse 21","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","21","0__",";Geöffnet 24h. Gebührenfrei","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Kollerwiese (nicht rollstuhlgängig)","","7156","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8003","wc030","","0","Schlossgasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Schlossgasse 21","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Schlossgasse 21","nicht rollstuhlgängig","3","Multifunktions-WC.","Gebührenfrei","24 h","Schlossgasse 21 / Ecke Steinstrasse","POINT (2681611 1246979)"
"","Friesenbergstrasse 130","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","130","0__",";Geöffnet 24h. Gebührenfrei","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Wasserschöpfi (nicht rollstuhlgängig)","","7157","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8055","wc034","","1","Friesenbergstrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Friesenbergstrasse 130","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Friesenbergstrasse 130","nicht rollstuhlgängig","3","Multifunktions-WC beim neu gestalteten Spielplatz.","Gebührenfrei.","24 h","Friesenbergstrasse 130 / Ecke Wasserschöpfi","POINT (2680807 1246575)"
"","Seestrasse 495b","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","495b","0__",";Geöffnet 24h. Gebührenfrei","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Hafen Wollishofen (nicht rollstuhlgängig)","","7893","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8002","wc018","","1","Seestrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Seestrasse 495b","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Seestrasse 495b","nicht rollstuhlgängig","2","2 Multifunktions-WCs. Für RollstuhlfahrerInnen steht das Behinderten-WC im Restaurant Seerose ohne Konsumationszwang zur Verfügung.","Gebührenfrei","24h","Seestr. 495b, bei der Zufahrt zum Rest. Seerose","POINT (2683205 1243605)"
"","Zeughausstrasse 56","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","56","0__",";Pissoir für Männer. Gebührenfrei","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Zeughausstrasse (Pissoir)","","7995","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8004","wc045","","0","Zeughausstrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Zeughausstrasse 56","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Zeughausstrasse 56","Pissoir","4","Zurzeit geschlossen.","Gebührenfrei","24 h","Zeughausstr. 56 / Einmündung Rotwandstr.","POINT (2682402 1247840)"
"","Bürkliplatz 1","","","WC-Anlage mit Personal. Nachts geschlossen. Gebührenfrei.<BR>Nächstes offenes WC beim Bürklisteg ZSG","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","1","0__",";NULL","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Bürkliplatz (nicht rollstuhlgängig)","","7996","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8001","wc004","","1","Bürkliplatz","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Bürkliplatz 1","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Bürkliplatz 1","nicht rollstuhlgängig","1","Bediente Anlage.","Gebührenfrei","Ganzjährig 6.30-21.45 Uhr geöffnet. Im Winter nur bis 20.45 Uhr.","Ecke Bahnhofstrasse/Bürkliplatz 1","POINT (2683241 1246785)"
"","Bürkliplatz 5","","","Wegen Umgestaltung der Stadthausanlgae nicht zugänglich.","","Umwelt- und Gesundheitsschutz","202503091010","","Gesundheits- und Umweltdepartement (GUD)","ugzfir","","","5","0__",";Pissoir für Männer. Gebührenfrei","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Bürkliplatz (Pissoir)","","7997","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8001","wc005","","0","Bürkliplatz","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Bürkliplatz 5","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?tolat=2683290&tolon=1246797&toname=Zürich, Bürkliplatz 5","Pissoir","1","Pissoir","Gebührenfrei","24h","Bürkliplatz 5 / Fraumünsterstrasse","POINT (2683290 1246797)"
"","Breitensteinstrasse 17a","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","17a","0__",";Geöffnet 24h. Gebührenfrei._WC mit Eurokey (kein ZüriWC) im GZ Wipkingen.","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Wipkingerpark (nicht rollstuhlgängig)","","8049","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8037","wc103","","1","Breitensteinstrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Breitensteinstrasse 17a","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Breitensteinstrasse 17a","nicht rollstuhlgängig","10","2 Multifunktions-WCs. Ein Behinderten-WC mit Eurokey hat es beim nahen Gemeinschaftszentrum.","Gebührenfrei","24h","Breitensteinstr. 17a / Am Wipkingerpark im Gebäude der SHL","POINT (2681776 1249662)"
"","Bellerivestrasse 60","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","60","0__",";Geöffnet 24h. Gebührenfrei","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Blatterwiese - Spielplatz (nicht rollstuhlgängig)","","8050","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8008","wc105","","1","Bellerivestrasse","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Bellerivestrasse 60","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Bellerivestrasse 60","nicht rollstuhlgängig","8","4 Multifunktions-WCs. Die Anlage befindet sich direkt am Spielplatz.","Gebührenfrei","24 h","Direkt beim Spielplatz an der Blatterwiese, Bellerivestrasse 60","POINT (2684071 1245590)"
"","Fritz-Heeb-Weg 13","","","","","Umwelt- und Gesundheitsschutz","202412161145","","Gesundheits- und Umweltdepartement (GUD)","ugzget","","","13","0__",";Geöffnet 24h. Gebührenfrei","1","0","WC (nicht rollstuhlgängig)","ugz-zueriwc@zuerich.ch","Wahlenpark (nicht rollstuhlgängig)","","8051","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Zürich","8050","wc106","","1","Fritz-Heeb-Weg","Toilette, Toiletten","+41 44 412 43 65","","https://www.stadt-zuerich.ch/zueriwc","NULL;NULL;","NULL;NULL;","NULL;NULL;","Fritz-Heeb-Weg 13","https://www.zvv.ch/de/fahrplan-und-informationen/fahrplan.html?toname=Zürich, Fritz-Heeb-Weg 13","nicht rollstuhlgängig","11","Multifunktions-WC. Ein Behinderten-WC befindet sich im Turnhallentrakt des Schulhauses. Im nahen Oerlikerpark steht ebenfalls ein behindertengerechtes ZüriWC.","Gebührenfrei","24 h","Fritz-Heeb-Weg 13 / Beim Schulhaus im Birch, Neu-Oerlikon","POINT (2683165 1252200)"
